symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
ODYS,under120,20260724T1337Z,morning,4.3501,-0.06650214592274674,False,3-10,True,2026-07-24T13:35:00Z,4.775,
RAML,under120,20260724T1337Z,morning,14.16,-0.06627717588410234,False,10-120,False,,13.81,0.9557
MASK,under120,20260724T1337Z,morning,1.42,-0.06578947368421058,False,1-3,True,2026-07-24T13:55:00Z,1.52,
DSC,under120,20260724T1337Z,morning,6.16,-0.06525037936267067,False,3-10,False,,6.3283,1.0061
EXYN,under120,20260724T1337Z,morning,2.87,-0.06514657980456018,False,1-3,True,2026-07-24T13:45:00Z,3.2,
LABT,under120,20260724T1337Z,morning,2.8608,-0.06509803921568635,False,1-3,False,,2.97,1.0171
MF,under120,20260724T1337Z,morning,5.35,-0.0646853146853147,False,3-10,True,2026-07-24T13:35:00Z,5.65,
BAOS,under120,20260724T1337Z,morning,1.6,-0.06432748538011689,False,1-3,False,,1.61,0.9817
MVLL,under120,20260724T1337Z,morning,24.6,-0.06357061286638745,False,10-120,False,,25.4599,1.0143
VSME,under120,20260724T1337Z,morning,1.18,-0.06349206349206354,False,1-3,False,,1.2299,1.0164
AMPG,under120,20260724T1337Z,morning,5.94,-0.06309148264984218,False,3-10,False,,6.22,1.0197
XHG,under120,20260724T1337Z,morning,1.04,-0.06306306306306311,False,1-3,False,,0.9812,0.892
WSE,under120,20260724T1337Z,morning,11.32,-0.0629139072847682,False,10-120,False,,11.575,1.0022
GFEB,under120,20260724T1337Z,morning,41.22,-0.06222912822799531,False,10-120,True,2026-07-24T14:20:00Z,44.01,
GLXU,under120,20260724T1337Z,morning,6.34,-0.06213017751479289,False,3-10,False,,6.48,1.0015
IREG,under120,20260724T1337Z,morning,8.78,-0.061965811965811975,False,3-10,False,,9.0,1.0045
