symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
STKH,under120,2026-08-13T19:37Z,afternoon,2.93,-0.13823529411764698,true,in_bracket,1-3,true,false,,,2.97,99.33110367892976,,,,2.915,-0.5119453924914719
STRR,under120,2026-08-13T14:53Z,morning,10.2345,-0.05672811059907826,false,other_price_or_range,10-120,false,,,,,,,,,,
STUB,under120,2026-08-13T13:38Z,morning,7.32,-0.14285714285714274,true,in_bracket,3-10,true,true,2026-08-13T19:15:00Z,3.005464480874313,,,false,,,7.665,4.713114754098357
STXV,under120,2026-08-13T13:38Z,morning,37.51,-0.05169536946211337,false,other_price_or_range,10-120,false,,,,,,,,,,
SUGP,under120,2026-08-13T13:38Z,morning,1.9,-0.06862745098039222,false,shallow_outside,1-3,true,true,2026-08-13T14:25:00Z,5.263157894736848,,,false,,,2.0,5.263157894736848
SUIG,under120,2026-08-13T19:37Z,afternoon,0.8497,-0.05230872183805481,false,shallow_outside,<1,true,false,,,0.85,98.0392156862745,,,,0.8418,-0.9297399082028972
SURG,under120,2026-08-13T19:37Z,afternoon,0.24795,-0.09175824175824181,false,shallow_outside,<1,true,false,,,0.25,98.81422924901186,,,,0.25,0.8267795926598089
SVRA,under120,2026-08-13T14:53Z,morning,5.395,-0.053508771929824665,false,shallow_outside,3-10,true,false,,,5.4486,98.88566243194192,false,,,5.28,-2.131603336422601
SXTC,under120,2026-08-13T15:54Z,morning,3.1202,-0.05448484848484841,false,shallow_outside,3-10,true,true,2026-08-13T16:20:00Z,5.1214665726555895,,,false,,,3.305,5.922697262995964
TANH,under120,2026-08-13T13:38Z,morning,0.32,-0.20199501246882795,true,in_bracket,<1,true,true,2026-08-13T13:40:00Z,5.000000000000004,,,false,,,0.365,14.062499999999995
TAOP,under120,2026-08-13T15:54Z,morning,0.8467,-0.08137137897363562,false,shallow_outside,<1,true,true,2026-08-13T19:45:00Z,2.0432266446202885,,,,,,0.9199,8.645328924058113
TC,under120,2026-08-13T13:38Z,morning,2.2,-0.05172413793103434,false,shallow_outside,1-3,true,false,,,2.21,98.22222222222223,false,,,2.01,-8.636363636363653
TCGX,under120,2026-08-13T13:38Z,morning,16.27,-0.07028571428571431,false,other_price_or_range,10-120,false,,,,,,,,,,
TECX,under120,2026-08-13T19:37Z,afternoon,34.61,-0.06027694814010315,false,other_price_or_range,10-120,false,,,,,,,,,,
TERC,under120,2026-08-13T13:38Z,morning,23.67,-0.079954911182804,false,other_price_or_range,10-120,false,,,,,,,,,,
TFGZ,under120,2026-08-13T13:38Z,morning,35.2,-0.06667444437963002,false,other_price_or_range,10-120,false,,,,,,,,,,
THCH,under120,2026-08-13T19:37Z,afternoon,1.6,-0.05882352941176463,false,shallow_outside,1-3,false,,,,,,,,,,
THM,under120,2026-08-13T14:53Z,morning,2.62,-0.06428571428571418,false,shallow_outside,1-3,true,false,,,2.67,99.62686567164178,false,,,2.66,1.5267175572519098
TLPH,under120,2026-08-13T14:53Z,morning,1.22,-0.12857142857142853,true,in_bracket,1-3,true,false,,,1.2499,99.992,false,,,1.2011,-1.5491803278688456
TMCR,under120,2026-08-13T14:53Z,morning,5.66,-0.1030110935023771,true,in_bracket,3-10,true,true,2026-08-13T16:35:00Z,5.123674911660777,,,false,,,6.07,7.243816254416964
TNGY,under120,2026-08-13T13:38Z,morning,10.21,-0.05550416281221088,false,other_price_or_range,10-120,false,,,,,,,,,,
