entry_date,entry_timestamp,symbol,firing,skip_reason,guardrail_detail,fundamentals_guardrails_failed,entry_price,status,exit_date,exit_timestamp,exit_price,exit_reason,roi_pct,sessions_held,peak_pct,max_drawdown_pct
2026-08-27,2026-08-27T13:40:00Z,SOAR,9:30,a3_prior_spike,peak_to_baseline_ratio=2.567;volume_spike_ratio=24.94;baseline_price=0.1335;peak_price=0.3427,,0.1984,closed,2026-08-27,2026-08-27T16:25:00Z,0.209,paper_target,5.34274193548387,0,5.7964,-7.1573
2026-08-27,2026-08-27T13:40:00Z,IPST,9:30,a3_prior_spike,peak_to_baseline_ratio=11.668;volume_spike_ratio=10402.32;baseline_price=2.1717;peak_price=25.34,,5.21,closed,2026-08-27,2026-08-27T13:40:00Z,5.52,paper_target,5.950095969289819,0,7.9655,0.0
2026-08-27,2026-08-27T13:40:00Z,EXYN,9:30,a3_prior_spike,peak_to_baseline_ratio=2.266;volume_spike_ratio=81.63;baseline_price=1.9067;peak_price=4.32,,3.57,open,,,,,,0,2.8011,-10.0812
2026-08-27,2026-08-27T13:40:00Z,XPON,9:30,a3_prior_spike,peak_to_baseline_ratio=3.499;volume_spike_ratio=4615.64;baseline_price=3.37;peak_price=11.79,,8.2205,open,,,,,,0,2.613,-10.4677
2026-08-27,2026-08-27T13:40:00Z,LUCK,9:30,a4_earnings_recency,days_since_earnings=0;report_date=2026-08-27;eps_actual=-0.21;eps_estimate=-0.02,,5.7463,closed,2026-08-27,2026-08-27T14:10:00Z,6.04,paper_target,5.111114978333889,0,6.8514,-1.6741
2026-08-27,2026-08-27T13:40:00Z,CHGA,9:30,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,0.1432,open,,,,,,0,1.1872,-13.1285
2026-08-27,2026-08-27T13:40:00Z,VEEA,9:30,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,0.1004,open,,,,,,0,4.5817,-5.2789
2026-08-27,2026-08-27T13:40:00Z,NXL,9:30,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5,0.2498,closed,2026-08-27,2026-08-27T13:40:00Z,0.265,paper_target,6.08486789431546,0,8.0464,0.0
2026-08-27,2026-08-27T13:40:00Z,SMTK,9:30,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,3.67,open,,,,,,0,4.6322,-7.6294
2026-08-27,2026-08-27T13:40:00Z,HODO,9:30,a6_reverse_split_proxy,split_ratio_proxy=85.68;high_52_weeks=19.4928;last_trade_price=0.2275,a6,0.229,closed,2026-08-27,2026-08-27T14:25:00Z,0.241,paper_target,5.240174672489075,0,5.2838,-2.9694
2026-08-27,2026-08-27T13:40:00Z,NVDQ,9:30,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=daily price movement of / (-2x) inverse exposure,a8,8.95,open,,,,,,0,0.0,-8.8257
2026-08-27,2026-08-27T13:40:00Z,NVD,9:30,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse leveraged exposure / daily price movement,a8,3.9597,open,,,,,,0,0.0076,-8.8315
2026-08-27,2026-08-27T14:41:00Z,GRAN,10:30,a1_spread_pct,spread_pct=0.2613,,1.11,closed,2026-08-27,2026-08-27T19:30:00Z,1.32,paper_target,18.918918918918916,0,20.7207,0.0
2026-08-27,2026-08-27T14:41:00Z,DCX,10:30,a1_spread_pct,spread_pct=0.1235,,0.7694,open,,,,,,0,0.0,-12.5942
2026-08-27,2026-08-27T14:41:00Z,SMJF,10:30,a1_spread_pct,spread_pct=0.2432,,9.95,closed,2026-08-27,2026-08-27T15:40:00Z,7.4625,paper_drawdown_stop_25pct,-24.999999999999993,0,0.0,-90.9548
2026-08-27,2026-08-27T14:41:00Z,GTN.A,10:30,a1_spread_pct,spread_pct=0.1670,,6.23,closed,2026-08-27,2026-08-27T17:00:00Z,6.55,paper_target,5.136436597110745,0,6.7416,0.0
2026-08-27,2026-08-27T14:41:00Z,BMGL,10:30,a1_spread_pct,spread_pct=0.1015,,5.32,open,,,,,,0,4.4756,-9.7744
